n
"{""name"":Keanu Reeves,""born"":1964}"
"{""name"":Carrie-Anne Moss,""born"":1967}"
"{""name"":Laurence Fishburne,""born"":1961}"
"{""name"":Hugo Weaving,""born"":1960}"
"{""name"":Lilly Wachowski,""born"":1967}"
"{""name"":Lana Wachowski,""born"":1965}"
"{""name"":Joel Silver,""born"":1952}"
"{""name"":Emil Eifrem,""born"":1978}"
"{""name"":Charlize Theron,""born"":1975}"
"{""name"":Al Pacino,""born"":1940}"
"{""name"":Taylor Hackford,""born"":1944}"
"{""name"":Tom Cruise,""born"":1962}"
"{""name"":Jack Nicholson,""born"":1937}"
"{""name"":Demi Moore,""born"":1962}"
"{""name"":Kevin Bacon,""born"":1958}"
"{""name"":Kiefer Sutherland,""born"":1966}"
"{""name"":Noah Wyle,""born"":1971}"
"{""name"":Cuba Gooding Jr.,""born"":1968}"
"{""name"":Kevin Pollak,""born"":1957}"
"{""name"":J.T. Walsh,""born"":1943}"
"{""name"":James Marshall,""born"":1967}"
"{""name"":Christopher Guest,""born"":1948}"
"{""name"":Rob Reiner,""born"":1947}"
"{""name"":Aaron Sorkin,""born"":1961}"
"{""name"":Kelly McGillis,""born"":1957}"
