n
"{""tagline"":Welcome to the Real World,""title"":The Matrix,""released"":1999}"
"{""tagline"":Free your mind,""title"":The Matrix Reloaded,""released"":2003}"
"{""tagline"":Everything that has a beginning has an end,""title"":The Matrix Revolutions,""released"":2003}"
"{""tagline"":Evil has its winning ways,""title"":The Devil's Advocate,""released"":1997}"
"{""tagline"":In the heart of the nation's capital, in a courthouse of the U.S. government, one man will stop at nothing to keep his honor, and one will stop at nothing to find the truth.,""title"":A Few Good Men,""released"":1992}"
"{""tagline"":I feel the need, the need for speed.,""title"":Top Gun,""released"":1986}"
"{""tagline"":The rest of his life begins now.,""title"":Jerry Maguire,""released"":2000}"
"{""tagline"":For some, it's the last real taste of innocence, and the first real taste of life. But for everyone, it's the time that memories are made of.,""title"":Stand By Me,""released"":1986}"
"{""tagline"":A comedy from the heart that goes for the throat.,""title"":As Good as It Gets,""released"":1997}"
"{""tagline"":After life there is more. The end is just the beginning.,""title"":What Dreams May Come,""released"":1998}"
"{""tagline"":First loves last. Forever.,""title"":Snow Falling on Cedars,""released"":1999}"
"{""tagline"":At odds in life... in love on-line.,""title"":You've Got Mail,""released"":1998}"
"{""tagline"":What if someone you never met, someone you never saw, someone you never knew was the only someone for you?,""title"":Sleepless in Seattle,""released"":1993}"
"{""tagline"":A story of love, lava and burning desire.,""title"":Joe Versus the Volcano,""released"":1990}"
"{""tagline"":Can two friends sleep together and still love each other in the morning?,""title"":When Harry Met Sally,""released"":1998}"
"{""tagline"":In every life there comes a time when that thing you dream becomes that thing you do,""title"":That Thing You Do,""released"":1996}"
"{""tagline"":Pain heals, Chicks dig scars... Glory lasts forever,""title"":The Replacements,""released"":2000}"
"{""tagline"":Based on the extraordinary true story of one man's fight for freedom,""title"":RescueDawn,""released"":2006}"
"{""tagline"":Come as you are,""title"":The Birdcage,""released"":1996}"
"{""tagline"":It's a hell of a thing, killing a man,""title"":Unforgiven,""released"":1992}"
"{""tagline"":The hottest data on earth. In the coolest head in town,""title"":Johnny Mnemonic,""released"":1995}"
"{""tagline"":Everything is connected,""title"":Cloud Atlas,""released"":2012}"
"{""tagline"":Break The Codes,""title"":The Da Vinci Code,""released"":2006}"
"{""tagline"":Freedom! Forever!,""title"":V for Vendetta,""released"":2006}"
"{""tagline"":Speed has no limits,""title"":Speed Racer,""released"":2008}"
